,Logistic Regression,Random Forest,SVM
Fit Time 1,0.9296798706054688,7.917646169662476,119.53036403656006
Score Time 1,0.05727791786193848,1.27907395362854,22.807755947113037
Score 1,0.6911428571428572,0.7149047619047619,0.6041904761904762
Fit Time 2,1.448005199432373,8.550495862960815,154.07580399513245
Score Time 2,0.038278818130493164,1.2658560276031494,24.919193983078003
Score 2,0.7053333333333334,0.7123333333333334,0.6035714285714285
Fit Time 3,1.3947389125823975,8.577803134918213,NA
Score Time 3,0.027863025665283203,0.7556169033050537,NA
Score 3,0.7053333333333334,0.705047619047619,NA
